robot_name,robot_state,robot_destination,intersection_start_time,intersection_finish_time,intersection_id,energy_consumption_intersection,queueing_robot
robot-15,taking_pod,"(13,13)",5.100000000000001,5.850000000000003,15-12,0.0006749999999999999,0
robot-1,taking_pod,"(17,1)",10.650000000000015,11.250000000000016,15-15,0.0006693749999999998,0
robot-10,taking_pod,"(20,1)",13.500000000000021,16.80000000000002,15-15,0.00067875,1
robot-15,delivering_pod,"(4,9)",11.700000000000017,19.199999999999996,15-12,0.002188125,0
robot-16,taking_pod,"(37,10)",24.749999999999943,28.649999999999906,15-12,0.005578125,1
robot-15,returning_pod,"(13,13)",116.85000000000157,122.40000000000178,15-12,0.0030756249999999985,1
robot-16,returning_pod,"(37,10)",124.80000000000187,128.700000000002,15-12,0.005578125,1
robot-15,taking_pod,"(30,5)",128.400000000002,135.00000000000225,15-12,0.001381875,0
