order_id,order_arrival,process_start_time,order_complete_time,station_id
129,4680,4680,4867,picker-1
133,4740,4740,4908,picker-1
135,4740,4740,4920,picker-2
137,4800,4800,4959,picker-2
134,4740,4740,4960,picker-1
136,4800,4800,4990,picker-1
138,4800,4800,5028,picker-3
140,4860,4860,5060,picker-1
139,4860,4860,5101,picker-1
141,4920,4920,5153,picker-1
142,4980,4980,5184,picker-1
143,4980,4980,5214,picker-1
144,5040,5040,5235,picker-1
145,5100,5100,5255,picker-1
147,5160,5160,5286,picker-1
146,5160,5160,5307,picker-1
148,5220,5220,5317,picker-1
149,5280,5280,5341,picker-1
151,5280,5280,5372,picker-1
150,5280,5280,5392,picker-1
152,5340,5340,5419,picker-1
153,5400,5400,5490,picker-1
154,5460,5460,5574,picker-1
155,5580,5580,5612,picker-1
157,5580,5580,5648,picker-1
156,5580,5580,5656,picker-1
160,5640,5640,5699,picker-1
158,5640,5640,5708,picker-1
161,5640,5640,5721,picker-1
159,5640,5640,5730,picker-1
162,5700,5700,5779,picker-1
164,5820,5820,5874,picker-1
163,5820,5820,5906,picker-1
165,5820,5820,5926,picker-1
166,5880,5880,5948,picker-1
167,6000,6000,6101,picker-1
168,6060,6060,6147,picker-1
169,6120,6120,6191,picker-1
172,6120,6120,6232,picker-1
171,6120,6120,6242,picker-1
170,6120,6120,6273,picker-1
173,6180,6180,6294,picker-1
174,6240,6240,6345,picker-1
175,6240,6240,6366,picker-1
176,6300,6300,6386,picker-1
177,6300,6300,6489,picker-1
178,6300,6300,6499,picker-1
179,6360,6360,6540,picker-1
180,6360,6360,6551,picker-1
181,6420,6420,6633,picker-1
182,6420,6420,6664,picker-1
183,6480,6480,6664,picker-2
184,6480,6480,6698,picker-2
185,6480,6480,6716,picker-3
186,6480,6480,6723,picker-2
188,6480,6480,6744,picker-2
187,6480,6480,6765,picker-2
189,6480,6480,6776,picker-2
190,6540,6540,6804,picker-1
191,6540,6540,6882,picker-1
192,6660,6660,6913,picker-1
194,6720,6720,6954,picker-1
193,6720,6720,6964,picker-1
195,6840,6840,6995,picker-1
196,6840,6840,7025,picker-1
197,6900,6900,7036,picker-1
198,6960,6960,7087,picker-1
200,6960,6960,7134,picker-2
199,6960,6960,7159,picker-1
201,7080,7080,7221,picker-1
206,7140,7140,7245,picker-2
203,7080,7080,7252,picker-1
202,7080,7080,7262,picker-1
205,7140,7140,7282,picker-1
204,7140,7140,7292,picker-1
207,7200,7200,7406,picker-1
208,7200,7200,7409,picker-2
209,7200,7200,7435,picker-3
211,7260,7260,7436,picker-1
210,7260,7260,7444,picker-1
212,7320,7320,7489,picker-1
215,7320,7320,7496,picker-2
214,7320,7320,7497,picker-1
213,7320,7320,7505,picker-1
216,7500,7500,7559,picker-1
218,7560,7560,7633,picker-1
217,7560,7560,7649,picker-1
220,7620,7620,7699,picker-1
219,7620,7620,7714,picker-1
222,7740,7740,7870,picker-1
221,7740,7740,7880,picker-1
223,7800,7800,7911,picker-1
224,7860,7860,7927,picker-1
225,7920,7920,8030,picker-1
226,8040,8040,8073,picker-1
228,8040,8040,8175,picker-1
227,8040,8040,8185,picker-1
229,8040,8040,8195,picker-1
230,8100,8100,8236,picker-1
231,8100,8100,8247,picker-1
232,8160,8160,8267,picker-1
233,8160,8160,8273,picker-2
235,8220,8220,8288,picker-1
234,8220,8220,8310,picker-1
236,8280,8280,8371,picker-1
237,8340,8340,8397,picker-1
238,8520,8520,8568,picker-1
239,8520,8520,8601,picker-1
240,8520,8520,8631,picker-1
242,8580,8580,8642,picker-1
241,8580,8580,8673,picker-1
244,8640,8640,8718,picker-1
243,8640,8640,8740,picker-1
245,8700,8700,8768,picker-1
246,8700,8700,8778,picker-1
247,8760,8760,8816,picker-1
248,8760,8760,8833,picker-1
250,8820,8820,8884,picker-1
249,8820,8820,8892,picker-1
251,8880,8880,8934,picker-1
252,8880,8880,8942,picker-1
253,8940,8940,9069,picker-1
