robot_name,robot_state,robot_destination,intersection_start_time,intersection_finish_time,intersection_id,energy_consumption_intersection,queueing_robot
robot-15,taking_pod,"(10,8)",0.15,4.5,15-12,0.00046124999999999996,1
robot-11,delivering_pod,"(4,9)",25.499999999999936,29.549999999999898,15-15,0.00580125,1
robot-1,delivering_pod,"(4,21)",22.79999999999996,31.649999999999878,15-12,0.003962499999999999,0
robot-17,delivering_pod,"(4,21)",34.199999999999854,38.249999999999815,15-15,0.0057375,2
robot-8,delivering_pod,"(4,9)",36.89999999999983,40.79999999999979,15-15,0.005578125,2
robot-2,delivering_pod,"(4,15)",39.14999999999981,43.19999999999977,15-15,0.005261249999999999,1
robot-12,delivering_pod,"(4,21)",50.849999999999696,54.89999999999966,15-15,0.00580125,1
